DATE      	CROP                	PLANT_DATE	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	IRRIGATION     	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 	N FIXATION     	N ADDED        
YYYY-MM-DD	-                   	YYYY-MM-DD	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              	kg/ha          	kg/ha          
1980-09-08	CornRM.90           	1980-04-19	28.919509      	3.865377       	12.653802      	0.000000       	12.400329      	0.505058       	357.873854     	353.475108     	163.588636     	0.000000       	0.244370       	0.029934       	0.152389       	0.000000       	0.020232       	152.389207     	91.981025      	0.000000       	0.000000       	0.000000       
1981-09-06	SoybeanMG.4         	1981-04-30	13.875736      	1.728903       	4.571262       	0.000000       	7.575571       	0.376334       	299.755222     	296.332233     	89.904110      	0.000000       	0.353225       	0.017257       	0.200033       	0.000000       	0.000000       	200.033313     	153.191616     	0.000000       	302.035807     	0.000000       
1982-08-29	CornRM.90           	1982-04-20	26.894032      	3.576163       	11.861445      	0.000000       	11.456424      	0.508685       	304.482452     	305.439132     	119.751583     	0.000000       	0.278561       	0.031984       	0.175846       	0.000000       	0.000000       	175.846024     	102.715251     	0.000000       	0.000000       	0.000000       
1983-09-02	SoybeanMG.4         	1983-04-30	12.024126      	1.603065       	3.922340       	0.000000       	6.498721       	0.376386       	301.274254     	269.434461     	111.960088     	0.000000       	0.318790       	0.015999       	0.180298       	0.000000       	0.000000       	180.298319     	138.492124     	0.000000       	250.686687     	0.000000       
1984-09-20	CornRM.90           	1984-04-19	31.352913      	3.785956       	14.467351      	0.000000       	13.099607      	0.524808       	337.135412     	338.634525     	167.976445     	0.000000       	0.289978       	0.032365       	0.186476       	0.000000       	0.000000       	186.475848     	103.502241     	0.000000       	0.000000       	0.000000       
1985-09-06	SoybeanMG.4         	1985-04-30	13.879397      	1.833976       	4.522546       	0.000000       	7.522875       	0.375458       	298.190254     	290.747064     	83.222583      	0.000000       	0.351351       	0.018281       	0.197978       	0.000000       	0.000000       	197.978485     	153.372284     	0.000000       	283.980670     	0.000000       
1986-09-12	CornRM.90           	1986-04-20	30.023161      	3.718497       	13.634357      	0.000000       	12.670307      	0.518325       	349.846693     	347.874144     	125.044286     	0.000000       	0.287734       	0.032613       	0.183592       	0.000000       	0.000000       	183.592139     	104.141528     	0.000000       	0.000000       	0.000000       
1987-08-28	SoybeanMG.4         	1987-04-30	13.266260      	1.629209       	4.389881       	0.000000       	7.247171       	0.377233       	301.962468     	299.457120     	89.261325      	0.000000       	0.343982       	0.016253       	0.195460       	0.000000       	0.000000       	195.459768     	148.522251     	0.000000       	278.981798     	0.000000       
1988-09-14	CornRM.90           	1988-04-19	22.319808      	3.098230       	9.975967       	0.000000       	9.245611       	0.518998       	398.130273     	307.718400     	168.036265     	0.000000       	0.277913       	0.029823       	0.178644       	0.000000       	0.000000       	178.643782     	99.269496      	0.000000       	0.000000       	0.000000       
